,user_id,movie_id,rating,timestamp,gender,age,occupation,zip,title,genres,for_testing
865441,2225,3873,2,974677068,M,25,5,96815,Cat Ballou (1965),Comedy|Western,False
46627,5431,2692,5,960069630,M,56,1,19026,Run Lola Run (Lola rennt) (1998),Action|Crime|Romance,False
108502,2465,2858,4,974223954,M,50,6,44333,American Beauty (1999),Comedy|Drama,False
359292,1467,2702,3,977173901,M,25,5,97007,Summer of Sam (1999),Drama,False
61452,5792,1537,5,958082408,M,25,17,43201,Shall We Dance? (Shall We Dansu?) (1996),Comedy,False
850322,1181,2540,4,974855027,M,35,7,20716,"Corruptor, The (1999)",Action|Crime|Drama|Thriller,False
130535,4484,1196,5,965014681,F,25,17,94613,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Drama|Sci-Fi|War,False
328152,4048,364,4,965500278,F,35,1,89431,"Lion King, The (1994)",Animation|Children's|Musical,False
33310,5049,745,5,962492840,M,25,12,60613,"Close Shave, A (1995)",Animation|Comedy|Thriller,False
832655,1137,3597,2,986527950,M,18,4,13165,Whipped (2000),Comedy,False
670137,5046,3635,3,962505023,M,25,16,60614,"Spy Who Loved Me, The (1977)",Action,False
862314,1370,1984,1,974795485,M,35,2,92821,Halloween III: Season of the Witch (1983),Horror,False
864501,5452,1821,4,959934906,M,35,6,10011,"Object of My Affection, The (1998)",Comedy|Romance,False
463586,531,2093,3,994167649,F,18,14,22206,Return to Oz (1985),Adventure|Children's|Fantasy|Sci-Fi,False
620236,2953,2701,2,971216656,M,25,20,23225,Wild Wild West (1999),Action|Sci-Fi|Western,False
690763,3600,1407,4,966624252,M,35,20,94506,Scream (1996),Horror|Thriller,False
651829,2010,2985,4,974677354,M,18,4,81520,Robocop (1987),Action|Crime|Sci-Fi,False
274334,4088,3744,3,965429471,M,25,3,77057,Shaft (2000),Action|Crime,False
778594,3314,2262,4,967947974,M,25,7,06516,About Last Night... (1986),Comedy|Drama|Romance,False
373883,1737,253,4,976062583,M,35,20,46614,Interview with the Vampire (1994),Drama|Horror,False
784029,714,2798,3,975689716,M,18,4,76013,Problem Child (1990),Comedy,False
951889,3641,1389,1,966488945,M,25,0,92008,Jaws 3-D (1983),Action|Horror,False
546584,5504,1230,4,959737439,M,45,7,85287-2702,Annie Hall (1977),Comedy|Romance,False
599957,4345,832,4,966268253,F,25,14,44304,Ransom (1996),Drama|Thriller,False
954994,4611,3125,4,965679017,F,18,4,78705,"End of the Affair, The (1999)",Drama,False
338168,5341,1007,3,960694238,F,25,3,85018,"Apple Dumpling Gang, The (1975)",Children's|Comedy|Western,False
869027,1605,371,3,974929791,F,18,0,28270,"Paper, The (1994)",Comedy|Drama,False
86374,1246,902,3,1021851711,M,18,4,98225,Breakfast at Tiffany's (1961),Drama|Romance,False
774001,3945,2247,3,965691687,F,45,1,96778,Married to the Mob (1988),Comedy,False
493812,2201,2407,4,974604474,M,56,20,46804,Cocoon (1985),Comedy|Sci-Fi,False
805909,2775,1922,3,979443324,F,18,4,90038,Whatever (1998),Drama,False
32139,3792,1721,5,967123807,M,25,6,68108,Titanic (1997),Drama|Romance,False
114637,3746,1408,5,1015279362,M,25,5,54703,"Last of the Mohicans, The (1992)",Action|Romance|War,False
712358,810,678,4,975394424,M,25,12,98006,Some Folks Call It a Sling Blade (1993),Drama|Thriller,False
757415,3999,2245,3,965575915,M,35,17,30701,Working Girl (1988),Comedy|Drama,False
525137,2747,3175,5,973211459,F,18,4,90025,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi,False
496634,2012,1032,3,974675583,M,25,4,49456,Alice in Wonderland (1951),Animation|Children's|Musical,False
764884,4422,724,3,965155188,M,25,5,10463,"Craft, The (1996)",Drama|Horror,False
549576,5164,1234,5,961902796,F,35,17,91107,"Sting, The (1973)",Comedy|Crime,False
882766,4482,514,4,965020462,F,35,1,94044,"Ref, The (1994)",Comedy,False
551291,922,1676,3,975212712,M,56,16,48009,Starship Troopers (1997),Action|Adventure|Sci-Fi|War,False
618544,1329,1092,2,978556190,M,18,14,60194,Basic Instinct (1992),Mystery|Thriller,False
703233,5364,1717,4,960583669,F,25,3,55408,Scream 2 (1997),Horror|Thriller,False
428223,1447,3363,4,981019061,M,18,4,80521,American Graffiti (1973),Comedy|Drama,False
312428,3694,1095,5,966302609,M,25,12,28227,Glengarry Glen Ross (1992),Drama,False
874232,5420,1359,1,960158398,F,1,19,14850,Jingle All the Way (1996),Adventure|Children's|Comedy,False
551628,2776,1676,3,973056781,M,25,14,22205,Starship Troopers (1997),Action|Adventure|Sci-Fi|War,False
617305,3067,2391,5,969996025,F,25,0,02148,"Simple Plan, A (1998)",Crime|Thriller,False
354258,2841,2336,4,1022086876,M,50,12,98056,Elizabeth (1998),Drama,False
926658,996,2625,4,976433942,M,25,17,98102,Black Mask (Hak hap) (1996),Action,False
749587,1019,1212,3,975008937,M,35,1,60640,"Third Man, The (1949)",Mystery|Thriller,False
376879,3498,3259,1,967000709,M,25,17,28052,Far and Away (1992),Drama|Romance,False
796419,1053,3730,4,974952862,M,35,0,18360,"Conversation, The (1974)",Drama|Mystery,False
254932,3603,377,4,966619847,F,35,7,78704,Speed (1994),Action|Romance|Thriller,False
564824,1279,764,3,974795244,M,35,1,98502,Heavy (1995),Drama|Romance,False
905984,1632,2365,3,974716312,M,25,16,94120,King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),Action|Sci-Fi,False
872631,2962,1975,2,978980752,M,35,3,94109,Friday the 13th Part 2 (1981),Horror,False
973590,4186,3401,3,965327969,M,25,7,33308,Baby... Secret of the Lost Legend (1985),Adventure|Sci-Fi,False
897294,3118,1950,4,969408320,M,25,0,77025,In the Heat of the Night (1967),Drama|Mystery,False
203188,2205,3552,3,974603947,F,25,7,10016,Caddyshack (1980),Comedy,False
170040,1356,2002,1,974772023,F,18,4,91706,Lethal Weapon 3 (1992),Action|Comedy|Crime|Drama,False
561191,5557,246,5,959441915,M,35,14,33701,Hoop Dreams (1994),Documentary,False
881585,3450,423,4,967245860,M,25,5,78251,Blown Away (1994),Action|Thriller,False
448751,1183,2657,4,974854765,M,35,19,94598,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi,False
538383,3313,2021,4,968098325,M,35,20,90292,Dune (1984),Fantasy|Sci-Fi,False
65869,698,2628,1,1015125984,M,18,4,76401,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Fantasy|Sci-Fi,False
873516,1599,575,4,974824962,M,25,0,92646,"Little Rascals, The (1994)",Children's|Comedy,False
251808,4832,50,5,962899262,M,25,14,17857,"Usual Suspects, The (1995)",Crime|Thriller,False
470233,3713,339,5,966269633,F,25,7,22201,While You Were Sleeping (1995),Comedy|Romance,False
236509,4277,3793,5,978252082,M,35,16,98133,X-Men (2000),Action|Sci-Fi,False
81545,1113,3108,5,974927726,M,18,4,97215,"Fisher King, The (1991)",Comedy|Drama|Romance,False
682786,3650,485,1,966461163,M,25,0,60611,Last Action Hero (1993),Action|Comedy,False
739303,45,11,5,977988587,F,45,16,94110,"American President, The (1995)",Comedy|Drama|Romance,False
234515,1119,1250,4,974915046,M,35,1,90504,"Bridge on the River Kwai, The (1957)",Drama|War,False
550985,2100,203,4,974672670,F,25,0,24017,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,False
749077,4472,3740,3,965064203,F,45,16,14424,Big Trouble in Little China (1986),Action|Comedy,False
687699,5054,1321,2,964470818,M,35,2,20818,"American Werewolf in London, An (1981)",Horror,False
853012,137,3157,4,977373399,F,45,6,78758,Stuart Little (1999),Children's|Comedy,False
344554,26,2100,3,978141053,M,25,7,23112,Splash (1984),Comedy|Fantasy|Romance,False
292840,3821,16,3,975774001,M,25,20,44313,Casino (1995),Drama|Thriller,False
729572,5011,2478,4,962588349,M,18,4,64154,Three Amigos! (1986),Comedy|Western,False
842323,5734,1081,3,980888844,F,25,14,10022,Victor/Victoria (1982),Comedy|Musical,False
232276,5018,1683,3,962586739,F,56,12,90290,"Wings of the Dove, The (1997)",Drama|Romance|Thriller,False
752035,1545,1306,3,974745563,M,25,20,20009,Until the End of the World (Bis ans Ende der Welt) (1991),Drama|Sci-Fi,False
94725,1901,3256,5,974694637,M,50,7,94024,Patriot Games (1992),Action|Thriller,False
349901,757,1573,3,975543256,M,25,12,97401,Face/Off (1997),Action|Sci-Fi|Thriller,False
691562,826,2064,4,975373457,F,35,1,80210,Roger & Me (1989),Comedy|Documentary,False
567486,352,1461,2,976333426,M,18,4,60115,Vegas Vacation (1997),Comedy,False
806700,4661,2208,4,963867401,M,45,15,85255,"Lady Vanishes, The (1938)",Comedy|Mystery|Romance|Thriller,False
175020,4823,318,4,963095062,M,18,4,46219,"Shawshank Redemption, The (1994)",Drama,False
726195,1516,473,2,976293516,F,25,12,53154,In the Army Now (1994),Comedy|War,False
508161,6007,3099,2,956789531,M,35,17,80537,Shampoo (1975),Comedy|Romance,False
784656,5795,455,3,958079978,M,25,1,92688,Free Willy (1993),Adventure|Children's|Drama,False
875099,4505,1459,5,964984450,M,50,7,39648,Absolute Power (1997),Mystery|Thriller,False
691729,1980,2064,5,974770873,M,35,7,06460,Roger & Me (1989),Comedy|Documentary,False
106385,2798,1945,5,972867757,M,35,20,10038,On the Waterfront (1954),Crime|Drama,False
653122,1198,2123,1,974946485,M,1,10,49544,All Dogs Go to Heaven (1989),Animation|Children's,False
356190,8,1682,4,978230852,M,25,12,11413,"Truman Show, The (1998)",Drama,False
642514,1835,2377,3,974878451,M,25,19,11501,Lifeforce (1985),Horror|Sci-Fi,False
330136,2605,3508,4,973748350,M,35,7,75013,"Outlaw Josey Wales, The (1976)",Western,False
231149,5519,1535,4,959658491,M,35,15,33167,Love! Valour! Compassion! (1997),Drama|Romance,False
921648,4898,3007,5,962710903,M,25,1,27713,American Movie (1999),Documentary,False
935525,2841,3118,4,983745773,M,50,12,98056,Tumbleweeds (1999),Drama,False
694649,4011,2160,5,965543085,M,25,17,85210,Rosemary's Baby (1968),Horror|Thriller,False
620721,970,2568,3,975143456,M,25,0,27615,"Mod Squad, The (1999)",Action|Crime,False
335260,1969,3753,5,982796573,F,25,3,92116,"Patriot, The (2000)",Action|Drama|War,False
342835,2909,912,5,971799640,M,25,7,43228,Casablanca (1942),Drama|Romance|War,False
229726,3824,39,3,990727409,M,25,17,32308,Clueless (1995),Comedy|Romance,False
322675,5664,357,4,958766867,M,18,4,48363,Four Weddings and a Funeral (1994),Comedy|Romance,False
755825,424,2144,4,1016725994,M,25,17,55112,Sixteen Candles (1984),Comedy,False
543765,3736,2393,5,966189467,M,35,1,44242,Star Trek: Insurrection (1998),Action|Sci-Fi,False
339365,5792,2966,4,1001009065,M,25,17,43201,"Straight Story, The (1999)",Drama,False
985972,3098,1484,3,969596016,M,25,4,55112,"Daytrippers, The (1996)",Mystery,False
768727,714,673,3,975782788,M,18,4,76013,Space Jam (1996),Adventure|Animation|Children's|Comedy|Fantasy,False
511584,1540,1200,4,974757639,M,45,0,97214,Aliens (1986),Action|Sci-Fi|Thriller|War,False
932886,966,2024,4,975115643,M,56,2,92262,"Rapture, The (1991)",Drama|Mystery,False
442946,462,2072,4,983962726,M,18,16,55416,"'burbs, The (1989)",Comedy,False
354779,1449,3425,3,976315358,M,35,20,17112,Mo' Better Blues (1990),Drama,False
281312,5844,2952,5,963951690,F,1,10,02131,"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)",Crime|Thriller,False
962813,181,3834,3,977089768,M,18,17,33186,Bronco Billy (1980),Adventure|Drama|Romance,False
728237,3389,1222,4,967555317,M,18,0,13603,Full Metal Jacket (1987),Action|Drama|War,False
355724,3870,1393,5,965846375,M,25,17,95050,Jerry Maguire (1996),Drama|Romance,False
916043,718,3317,3,975574964,M,18,2,90211,Wonder Boys (2000),Comedy|Drama,False
243039,5908,296,4,957725844,M,25,4,19711,Pulp Fiction (1994),Crime|Drama,False
804525,6016,1085,3,956778553,M,45,1,37209,"Old Man and the Sea, The (1958)",Adventure|Drama,False
979574,4227,1626,1,965662337,M,25,19,11414-2520,Fire Down Below (1997),Action|Drama|Thriller,False
959664,2063,129,4,979407510,M,25,4,43138,Pie in the Sky (1995),Comedy|Romance,False
672738,3470,1391,3,967150259,M,35,17,49887,Mars Attacks! (1996),Action|Comedy|Sci-Fi|War,False
342735,2531,912,5,974053305,F,45,7,52003,Casablanca (1942),Drama|Romance|War,False
287176,2860,908,4,974235111,M,35,17,20009,North by Northwest (1959),Drama|Thriller,False
870660,4451,2468,1,965088793,M,25,14,30101,Jumpin' Jack Flash (1986),Action|Comedy|Romance|Thriller,False
802371,6036,3102,3,956754319,F,25,15,32603,Jagged Edge (1985),Thriller,False
95325,5387,3256,4,961192020,F,25,1,45056,Patriot Games (1992),Action|Thriller,False
854072,4788,258,2,962998244,M,35,7,85331,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance,False
805488,229,3943,5,1039502649,M,18,10,04576,Bamboozled (2000),Comedy,False
223115,6002,1201,4,1014523582,M,50,0,43231,"Good, The Bad and The Ugly, The (1966)",Action|Western,False
18469,6036,2791,3,956711642,F,25,15,32603,Airplane! (1980),Comedy,False
689805,4882,1258,5,962755220,M,45,11,03301,"Shining, The (1980)",Horror,False
114016,22,1408,3,980066384,M,18,15,53706,"Last of the Mohicans, The (1992)",Action|Romance|War,False
82519,2862,3035,4,972503991,M,45,7,55066,Mister Roberts (1955),Comedy|Drama|War,False
638662,5702,446,5,958579014,M,18,0,90034,Farewell My Concubine (1993),Drama|Romance,False
212939,4085,2081,4,965539397,F,25,6,79416,"Little Mermaid, The (1989)",Animation|Children's|Comedy|Musical|Romance,False
247496,5026,224,4,962580447,M,25,17,92584,Don Juan DeMarco (1995),Comedy|Drama|Romance,False
748074,4150,2419,3,965346101,M,25,0,29672,Extremities (1986),Drama|Thriller,False
114067,302,1408,2,976505392,M,18,4,04901,"Last of the Mohicans, The (1992)",Action|Romance|War,False
339779,2909,266,4,1009393114,M,25,7,43228,Legends of the Fall (1994),Drama|Romance|War|Western,False
43677,5957,1,3,958404475,M,18,20,02038,Toy Story (1995),Animation|Children's|Comedy,False
597788,4329,2581,4,965243116,F,25,14,78232,Never Been Kissed (1999),Comedy|Romance,False
418947,5329,1307,5,961011222,F,25,5,91773,When Harry Met Sally... (1989),Comedy|Romance,False
91288,2212,1544,4,974602371,M,18,4,80521,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller,False
223609,3473,2947,2,967136226,F,35,16,02472,Goldfinger (1964),Action,False
428236,1543,3363,4,974750330,M,25,11,10549,American Graffiti (1973),Comedy|Drama,False
213544,3511,2951,5,966976040,M,50,0,88004,"Fistful of Dollars, A (1964)",Action|Western,False
769522,132,1285,4,977427984,M,25,17,99709,Heathers (1989),Comedy,False
846208,3724,3706,3,966225503,M,35,6,77083,Angel Heart (1987),Film-Noir|Mystery|Thriller,False
709292,5749,145,1,962844902,M,25,2,94117,Bad Boys (1995),Action,False
386852,2188,2329,2,974612916,F,18,19,60641,American History X (1998),Drama,False
270145,3582,2723,3,966699165,F,35,0,52405,Mystery Men (1999),Action|Adventure|Comedy,False
317997,3299,32,4,968035433,F,25,4,19119,Twelve Monkeys (1995),Drama|Sci-Fi,False
290400,2781,3476,4,989598290,M,35,4,45205,Jacob's Ladder (1990),Horror|Mystery|Thriller,False
306111,3298,2683,3,968047481,M,1,10,20876,Austin Powers: The Spy Who Shagged Me (1999),Comedy,False
60169,5886,1246,4,957488368,M,25,20,02139,Dead Poets Society (1989),Drama,False
728284,3550,1222,4,966997908,M,25,5,55447,Full Metal Jacket (1987),Action|Drama|War,False
810391,3626,2922,4,1018416790,M,25,17,75075,Hang 'em High (1967),Western,False
786133,2629,2875,3,973625270,M,25,11,15237,Sommersby (1993),Drama|Mystery|Romance,False
758662,4281,2915,5,965281160,M,56,13,92120,Risky Business (1983),Comedy,False
187629,5220,2735,3,961543708,M,25,7,91436,"Golden Child, The (1986)",Action|Adventure|Comedy,False
890956,5964,1483,5,956999822,M,18,5,97202,Crash (1996),Drama|Thriller,False
419173,531,3270,4,978971034,F,18,14,22206,"Cutting Edge, The (1992)",Drama,False
147078,948,1953,1,975146816,M,56,12,43056,"French Connection, The (1971)",Action|Crime|Drama|Thriller,False
453668,5519,1282,5,959658352,M,35,15,33167,Fantasia (1940),Animation|Children's|Musical,False
402305,2820,1060,2,979592005,F,35,0,02138,Swingers (1996),Comedy|Drama,False
227714,5387,2987,2,961192956,F,25,1,45056,Who Framed Roger Rabbit? (1988),Adventure|Animation|Film-Noir,False
695689,2590,842,3,973840795,M,18,4,94044,Tales from the Crypt Presents: Bordello of Blood (1996),Horror,False
657322,5811,2141,3,958030111,M,18,4,60202,"American Tail, An (1986)",Animation|Children's|Comedy,False
59615,1920,1246,4,975126967,F,35,7,80122,Dead Poets Society (1989),Drama,False
923291,639,2803,4,975811979,M,45,17,85202,"Pelican Brief, The (1993)",Thriller,False
571001,2792,481,2,973237204,M,18,4,02452,Kalifornia (1993),Drama|Thriller,False
575824,1613,2616,3,974734250,M,18,20,61801,Dick Tracy (1990),Action|Crime,False
715164,4086,185,5,965517510,F,1,10,55391,"Net, The (1995)",Sci-Fi|Thriller,False
910838,5097,3811,4,970102760,M,56,16,19131,Breaker Morant (1980),Drama|War,False
933335,1903,1260,5,974694987,M,35,0,90401,M (1931),Crime|Film-Noir|Thriller,False
740356,1040,2241,4,974981020,M,25,11,76309,Class (1983),Comedy,False
159631,4448,349,5,966372843,M,25,14,06880,Clear and Present Danger (1994),Action|Adventure|Thriller,False
905295,5990,1228,4,956868450,F,25,20,90046,Raging Bull (1980),Drama,False
904051,1676,3672,3,974795172,M,18,4,91301,Benji (1974),Adventure|Children's,False
268112,2656,2291,3,973530219,M,56,13,32837,Edward Scissorhands (1990),Drama|Romance,False
299025,3490,913,5,967049263,M,25,0,74136,"Maltese Falcon, The (1941)",Film-Noir|Mystery,False
56409,4478,3114,4,983907501,M,1,12,02138,Toy Story 2 (1999),Animation|Children's|Comedy,False
815989,3080,3504,5,969811842,M,25,20,55410,Network (1976),Comedy|Drama,False
836256,1899,1419,4,974694740,F,45,6,02135,Walkabout (1971),Drama,False
159573,4150,349,5,965345117,M,25,0,29672,Clear and Present Danger (1994),Action|Adventure|Thriller,False
999211,2199,618,1,974605686,M,1,10,60613,Two Much (1996),Comedy|Romance,False
630734,830,1428,4,975367833,M,35,7,60657,Angel Baby (1995),Drama,False
119847,8,1265,5,978229524,M,25,12,11413,Groundhog Day (1993),Comedy|Romance,False
716589,4950,2671,4,962946750,M,25,16,55421,Notting Hill (1999),Comedy|Romance,False
860060,352,2034,4,976325425,M,18,4,60115,"Black Hole, The (1979)",Sci-Fi,False
794849,1306,922,4,974787172,M,25,3,64068,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Film-Noir,False
460228,1451,3034,3,987048514,M,35,20,90012,Robin Hood (1973),Animation|Children's,False
548836,737,1234,3,1037423420,M,1,19,53711,"Sting, The (1973)",Comedy|Crime,False
415159,1051,778,4,987217496,F,25,0,60513,Trainspotting (1996),Drama,False
65142,3201,2268,4,968626019,M,45,7,35216,"Few Good Men, A (1992)",Crime|Drama,False
22493,4048,2321,4,965501429,F,35,1,89431,Pleasantville (1998),Comedy,False
961889,5341,3679,5,960694364,F,25,3,85018,"Decline of Western Civilization, The (1981)",Documentary,False
184566,5854,1641,2,958273061,M,45,7,33135,"Full Monty, The (1997)",Comedy,False
681840,716,3698,4,975894565,M,18,4,98188,"Running Man, The (1987)",Action|Adventure|Sci-Fi,False
269389,1635,1279,4,974773119,M,25,0,97212,Night on Earth (1991),Comedy|Drama,False
357318,1457,508,4,983498538,M,25,1,95472,Philadelphia (1993),Drama,False
864019,1480,2110,3,974754009,M,25,20,91367,Dead Men Don't Wear Plaid (1982),Comedy|Crime|Thriller,False
767998,5249,236,3,961603044,F,45,14,75006,French Kiss (1995),Comedy|Romance,False
605647,940,2840,2,975175866,M,1,10,76240,Stigmata (1999),Thriller,False
